id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,111.1,TON/HARI,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,0.0,TON/HARI,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,467.6,TON/HARI,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,7060.8,TON/HARI,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,TON/HARI,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,1720.9,TON/HARI,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,3000.0,TON/HARI,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,TON/HARI,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,TON/HARI,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,101.6,TON/HARI,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,2173.05,TON/HARI,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,734.32,TON/HARI,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,692.72,TON/HARI,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,661.72,TON/HARI,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,794.22,TON/HARI,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,482.74,TON/HARI,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,411.47,TON/HARI,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,394.49,TON/HARI,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,765.32,TON/HARI,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,310.9,TON/HARI,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,263.88,TON/HARI,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,732.24,TON/HARI,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,746.96,TON/HARI,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,283.43,TON/HARI,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,677.34,TON/HARI,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1064.93,TON/HARI,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,826.78,TON/HARI,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,183.63,TON/HARI,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,414.03,TON/HARI,2020
