nama_kabupaten_kota,tahun,total_jumlah_sampah
KOTA CIREBON,2018,0.0
KOTA CIREBON,2020,159.02
KOTA CIREBON,2021,213.0
KOTA CIREBON,2022,152.39
KOTA CIREBON,2023,176.0
KOTA BEKASI,2016,4804.77
KOTA BEKASI,2017,5147.0
KOTA BEKASI,2018,1720.9
KOTA BEKASI,2020,1403.43
KOTA BEKASI,2021,1061.0
KOTA BEKASI,2022,1200.0
KOTA BEKASI,2023,1260.0
KOTA DEPOK,2016,3901.4
KOTA DEPOK,2017,4225.0
KOTA DEPOK,2018,3000.0
KOTA DEPOK,2020,1258.53
KOTA DEPOK,2021,1194.2
KOTA DEPOK,2022,1000.0
KOTA DEPOK,2023,999.0
KOTA CIMAHI,2016,1104.75
KOTA CIMAHI,2017,1191.0
KOTA CIMAHI,2018,0.0
KOTA CIMAHI,2020,313.29
KOTA CIMAHI,2021,173.8
KOTA CIMAHI,2022,165.2
KOTA CIMAHI,2023,168.12
KOTA TASIKMALAYA,2016,599.53
KOTA TASIKMALAYA,2017,642.0
KOTA TASIKMALAYA,2018,0.0
KOTA TASIKMALAYA,2020,182.6
KOTA TASIKMALAYA,2021,194.29
KOTA TASIKMALAYA,2022,200.82
KOTA TASIKMALAYA,2023,205.0
KOTA BANJAR,2016,266.87
KOTA BANJAR,2017,291.0
KOTA BANJAR,2018,101.6
KOTA BANJAR,2020,57.48
KOTA BANJAR,2021,44.0
KOTA BANJAR,2022,48.37
KOTA BANJAR,2023,69.37
